linkStart,linkEnd,capacity
R1434,R3945,181818
R2752,R1684,181818
R1538,R1419,151818
R1419,R1538,151818
R2313,R2550,151515
R3490,R3313,151515
R2550,R2313,151515
R2264,R4040,151515
R1993,R2167,151515
R2167,R2264,151515
R3973,R1426,151515
R3595,R2032,151515
R3664,R1532,151515
R1334,R3837,151515
R3664,R3595,151515
R4130,R1538,151515
R3595,R3664,151515
R3595,R3591,151515
R3595,R3536,151515
R3595,R2951,151515
R2032,R1321,151515
R2264,R2167,151515
R3490,R3536,151515
R4130,R3536,151515
R1665,R2985,151515
R3372,R3403,151515
R2057,R3449,151515
R3715,R1093,151515
R3715,R4063,151515
R2547,R3313,151515
R2547,R3536,151515
R2951,R3449,151515
R2951,R3595,151515
R1426,R3973,151515
R3403,R3372,151515
R4063,R3715,151515
R3392,R3536,151515
R4114,R1538,151515
R3837,R1334,151515
R1538,R4114,151515
R1538,R4130,151515
R2032,R3595,151515
R4040,R2264,151515
R2032,R3449,151515
R2167,R1993,151515
R3313,R2547,151515
R3449,R2951,151515
R3536,R4114,151515
R3536,R3449,151515
R3536,R3595,151515
R3536,R3392,151515
R1321,R2032,151515
R3536,R1532,151515
R2985,R1665,151515
R3591,R3449,151515
R3536,R2547,151515
R3536,R3490,151515
R3449,R2264,151515
R4114,R3536,151515
R1093,R3715,151515
R1532,R3536,151515
R3449,R2032,151515
R1532,R3664,151515
R3449,R2057,151515
R3449,R3536,151515
R2264,R3449,151515
R3449,R3591,151515
R3536,R4130,151515
R3591,R3595,151515
R3313,R3490,151515
R1830,R2673,121515
R2673,R1830,121242
R2752,R4218,121212
R3715,R4100,121212
R3457,R3200,121212
R3715,R3657,121212
R3715,R1851,121212
R4218,R2752,121212
R2752,R3408,121212
R1321,R3362,121212
R1940,R3954,121212
R1620,R1555,121212
R4218,R3935,121212
R1437,R3490,121212
R4063,R3657,121212
R1830,R3097,121212
R1830,R1998,121212
R1437,R2547,121212
R4045,R3403,121212
R2153,R3362,121212
R2898,R2449,121212
R3457,R2547,121212
R4045,R3372,121212
R4268,R3403,121212
R1993,R1004,121212
R3254,R3748,121212
R3362,R1321,121212
R3457,R1004,121212
R3457,R4165,121212
R1010,R1321,121212
R1004,R2428,121212
R1004,R2264,121212
R2752,R3199,121212
R3945,R3837,121212
R1004,R1993,121212
R1004,R3457,121212
R2264,R2849,121212
R4130,R1030,121212
R2481,R1428,121212
R1674,R1260,121212
R2547,R3896,121212
R2547,R1437,121212
R4100,R4063,121212
R2264,R1823,121212
R2153,R1010,121212
R3097,R1830,121212
R2547,R3457,121212
R2197,R3906,121212
R4063,R4100,121212
R3490,R2547,121212
R2057,R3595,121212
R3362,R2153,121212
R3715,R3490,121212
R4268,R3372,121212
R3372,R4045,121212
R3490,R3595,121212
R3138,R1993,121212
R2264,R3138,121212
R2032,R3392,121212
R3896,R2547,121212
R2624,R3945,121212
R3490,R3715,121212
R2624,R1334,121212
R3935,R3408,121212
R3896,R3490,121212
R2153,R2547,121212
R1851,R3715,121212
R2032,R4130,121212
R3200,R3457,121212
R3935,R3199,121212
R2032,R4114,121212
R3935,R4218,121212
R2153,R2032,121212
R3449,R3392,121212
R2032,R2153,121212
R3372,R4268,121212
R2032,R1532,121212
R3748,R3254,121212
R3532,R3449,121212
R3490,R1532,121212
R1428,R2481,121212
R3490,R4130,121212
R2449,R2898,121212
R1853,R3449,121212
R3490,R2428,121212
R1853,R3595,121212
R1321,R1010,121212
R3945,R2624,121212
R3532,R3595,121212
R2153,R3536,121212
R3935,R2405,121212
R4063,R2547,121212
R3449,R2547,121212
R4100,R3715,121212
R2752,R2405,121212
R3138,R2264,121212
R3837,R3945,121212
R2547,R2153,121212
R3490,R1321,121212
R3449,R3664,121212
R1010,R2153,121212
R3906,R2197,121212
R3536,R1321,121212
R3408,R2752,121212
R1532,R2032,121212
R3595,R2057,121212
R3449,R1853,121212
R3217,R4114,121212
R3490,R3896,121212
R1993,R3138,121212
R3595,R3490,121212
R1993,R2849,121212
R3536,R2153,121212
R3199,R3935,121212
R2547,R3449,121212
R2428,R4165,121212
R3392,R3449,121212
R3595,R1532,121212
R2547,R3490,121212
R1321,R3490,121212
R3449,R3532,121212
R1823,R1993,121212
R3403,R4268,121212
R4130,R2032,121212
R2264,R1004,121212
R3657,R3715,121212
R2547,R4063,121212
R1532,R3595,121212
R4114,R2547,121212
R3403,R4045,121212
R4114,R2032,121212
R1993,R1823,121212
R3657,R4063,121212
R1334,R2624,121212
R2264,R4165,121212
R3664,R3449,121212
R2547,R3392,121212
R3490,R1437,121212
R3199,R2752,121212
R3217,R4130,121212
R1260,R1674,121212
R3408,R3935,121212
R2849,R2264,121212
R2428,R3490,121212
R2405,R2752,121212
R3392,R2032,121212
R2849,R1993,121212
R3954,R1940,121212
R4165,R1993,121212
R1823,R2264,121212
R4165,R3457,121212
R4165,R2428,121212
R4165,R2264,121212
R2547,R4114,121212
R3392,R2547,121212
R4130,R3217,121212
R3595,R3532,121212
R3595,R1853,121212
R1321,R3536,121212
R1030,R4130,121212
R4114,R3217,121212
R2405,R3935,121212
R1532,R3490,121212
R4114,R1030,121212
R1993,R4165,121212
R2428,R1004,121212
R1555,R1620,121212
R4130,R3490,121212
R1998,R1830,121212
R1030,R4114,121212
R3338,R3392,90909
R2737,R1334,90909
R4063,R1538,90909
R1784,R1061,90909
R3449,R4114,90909
R4130,R3595,90909
R3449,R2752,90909
R1992,R3605,90909
R1993,R2920,90909
R3449,R3595,90909
R1532,R3392,90909
R1532,R3338,90909
R4134,R3392,90909
R1993,R1187,90909
R3157,R1334,90909
R3157,R3945,90909
R3935,R3330,90909
R1993,R2822,90909
R1532,R4134,90909
R1532,R2475,90909
R3935,R2931,90909
R2153,R3784,90909
R1532,R2744,90909
R2153,R2699,90909
R3935,R1405,90909
R4134,R1532,90909
R3372,R3417,90909
R1334,R3157,90909
R3372,R3242,90909
R4063,R1851,90909
R3945,R1532,90909
R3250,R4130,90909
R3129,R1825,90909
R1157,R4114,90909
R1157,R4130,90909
R1334,R3392,90909
R2744,R3392,90909
R3449,R2510,90909
R3449,R3087,90909
R4130,R1157,90909
R4130,R3250,90909
R4130,R3853,90909
R2264,R2920,90909
R4130,R2216,90909
R2744,R1532,90909
R3945,R2737,90909
R2226,R4063,90909
R3195,R3191,90909
R1532,R3945,90909
R1006,R2153,90909
R1006,R1321,90909
R1795,R1321,90909
R1795,R2153,90909
R3338,R1532,90909
R2752,R1405,90909
R3449,R4226,90909
R4063,R2226,90909
R1061,R1784,90909
R2264,R1744,90909
R3935,R3595,90909
R2475,R3392,90909
R2699,R2153,90909
R2699,R1321,90909
R2475,R1532,90909
R3784,R2153,90909
R3784,R1321,90909
R3945,R3157,90909
R1334,R2737,90909
R3195,R3605,90909
R3449,R2153,90909
R2264,R1187,90909
R2264,R2822,90909
R2216,R4114,90909
R2216,R4130,90909
R2752,R3330,90909
R3853,R4114,90909
R3449,R2930,90909
R3853,R4130,90909
R2752,R2931,90909
R3250,R4114,90909
R1992,R3191,90909
R3087,R3595,90909
R2737,R3945,90909
R1538,R3715,90909
R1187,R1993,90909
R1187,R2264,90909
R2153,R1006,90909
R3392,R4134,90909
R3392,R3338,90909
R3392,R1532,90909
R1538,R4063,90909
R3403,R3242,90909
R2153,R1795,90909
R3403,R3417,90909
R3490,R2032,90909
R3490,R2057,90909
R2428,R3457,90909
R3490,R2951,90909
R3490,R3591,90909
R3490,R3664,90909
R3392,R2475,90909
R3457,R2428,90909
R2057,R2547,90909
R3392,R1334,90909
R2547,R3664,90909
R2547,R3591,90909
R2547,R2951,90909
R2547,R2057,90909
R2547,R2032,90909
R2153,R3449,90909
R1004,R1744,90909
R2822,R1993,90909
R1744,R2428,90909
R1744,R1004,90909
R2951,R2547,90909
R2951,R3490,90909
R3392,R2744,90909
R1744,R3457,90909
R1744,R2264,90909
R2822,R2264,90909
R3664,R3490,90909
R3664,R2547,90909
R3191,R3195,90909
R4114,R3853,90909
R1321,R2699,90909
R3595,R4130,90909
R2752,R3449,90909
R3595,R1321,90909
R2428,R1741,90909
R3605,R3195,90909
R4114,R2216,90909
R3605,R1992,90909
R3191,R1992,90909
R4114,R3250,90909
R4114,R1157,90909
R1321,R3595,90909
R3330,R3935,90909
R3330,R2752,90909
R2931,R2752,90909
R2931,R3935,90909
R1321,R3784,90909
R3591,R2547,90909
R3715,R1538,90909
R1405,R3935,90909
R2428,R4148,90909
R3595,R3935,90909
R4114,R3449,90909
R3595,R3087,90909
R3595,R2510,90909
R3595,R2930,90909
R3595,R4226,90909
R2428,R1744,90909
R3595,R3449,90909
R3417,R3403,90909
R3417,R3372,90909
R3242,R3403,90909
R3242,R3372,90909
R1405,R2752,90909
R3591,R3490,90909
R2057,R3490,90909
R1830,R3144,90909
R2930,R3595,90909
R1321,R1006,90909
R3144,R1830,90909
R4148,R2428,90909
R4148,R3457,90909
R1741,R2428,90909
R2510,R3595,90909
R2920,R2264,90909
R2510,R3449,90909
R1741,R3457,90909
R2920,R1993,90909
R3457,R1741,90909
R3457,R1744,90909
R2032,R3490,90909
R3087,R3449,90909
R1851,R4063,90909
R1321,R1795,90909
R1825,R3129,90909
R4226,R3449,90909
R4226,R3595,90909
R2032,R2547,90909
R2930,R3449,90909
R3457,R4148,90909
R4291,R2295,63636
R2295,R4291,63636
R4052,R4132,60909
R4132,R4052,60636
R1993,R4300,60606
R3121,R1830,60606
R3490,R3403,60606
R3898,R3715,60606
R1993,R1539,60606
R1570,R3372,60606
R3144,R1091,60606
R1570,R3403,60606
R3144,R2628,60606
R3449,R4033,60606
R3121,R2673,60606
R3490,R3945,60606
R1334,R2547,60606
R1993,R1744,60606
R1993,R3158,60606
R1334,R3945,60606
R3668,R3372,60606
R2428,R1465,60606
R2752,R2547,60606
R3891,R2428,60606
R4030,R2238,60606
R1993,R2513,60606
R1472,R3935,60606
R1993,R3201,60606
R1472,R2752,60606
R3425,R3715,60606
R3898,R4063,60606
R3973,R3457,60606
R1993,R2783,60606
R2412,R3935,60606
R2412,R2752,60606
R3144,R4052,60606
R3449,R1681,60606
R3449,R2203,60606
R3668,R3403,60606
R3144,R4132,60606
R2459,R3372,60606
R2752,R3970,60606
R3425,R4063,60606
R1124,R3945,60606
R3457,R2790,60606
R1124,R1334,60606
R2543,R3490,60606
R3970,R3935,60606
R3970,R2752,60606
R3608,R4063,60606
R3697,R1992,60606
